date,HKDKRW,isPartial
2017-07-16,30,False
2017-07-23,30,False
2017-07-30,0,False
2017-08-06,29,False
2017-08-13,0,False
2017-08-20,29,False
2017-08-27,0,False
2017-09-03,29,False
2017-09-10,0,False
2017-09-17,0,False
2017-09-24,0,False
2017-10-01,0,False
2017-10-08,37,False
2017-10-15,28,False
2017-10-22,31,False
2017-10-29,0,False
2017-11-05,31,False
2017-11-12,0,False
2017-11-19,27,False
2017-11-26,54,False
2017-12-03,40,False
2017-12-10,0,False
2017-12-17,37,False
2017-12-24,0,False
2017-12-31,0,True
